auv_id,auv_pos_x,auv_pos_y,auv_pos_z,auv_speed,nodes_in_range,is_lc,is_oc,timestamp
7,62.80350364,463.1089903,395.5622336,1.524231006,0,0,0,0.7
8,398.8454296,235.4275781,353.1142898,4.732092886,0,0,0,0.7
9,123.1458073,117.4076802,470.58223,2.815587528,0,0,0,0.7
0,348.025652,222.9063086,393.7950257,1.609248411,3,1,1,0.8
2,73.89081334,52.698121,374.7453536,2.319444849,2,1,0,0.8
1,450.3677192,227.0827715,396.0806245,1.385563849,1,1,0,0.8
3,132.3383914,168.1020977,416.138819,2.893957604,0,0,0,0.8
4,20.35825956,276.9167918,474.4769534,1.920855964,0,0,0,0.8
5,445.6424471,258.7520736,461.8980869,4.563169964,0,0,0,0.8
6,154.8937831,387.4727431,424.1116665,1.785738663,0,0,0,0.8
7,62.91932886,463.0249547,395.6147248,1.524231006,0,0,0,0.8
8,398.428551,235.6446753,353.1691363,4.732092886,0,0,0,0.8
9,123.0490606,117.2922425,470.3443445,2.815587528,0,0,0,0.8
0,348.0107036,222.8872164,393.6359381,1.609248411,3,1,1,0.9
2,74.07178211,52.80885846,374.6516212,2.319444849,2,1,0,0.9
1,450.2639993,226.9932855,396.1014169,1.385563849,1,1,0,0.9
3,132.2106758,168.3596087,416.1723857,2.893957604,0,0,0,0.9
4,20.54181306,276.860187,474.477897,1.920855964,0,0,0,0.9
5,445.5223501,258.6768395,461.4643338,4.563169964,0,0,0,0.9
6,154.8639994,387.3361125,424.0006097,1.785738663,0,0,0,0.9
7,63.03515409,462.940919,395.667216,1.524231006,0,0,0,0.9
8,398.0116725,235.8617725,353.2239829,4.732092886,0,0,0,0.9
9,122.9523138,117.1768049,470.1064589,2.815587528,0,0,0,0.9
0,347.9957552,222.8681243,393.4768506,1.609248411,3,1,1,1
2,74.25275087,52.91959592,374.5578888,2.319444849,2,1,0,1
1,450.1602794,226.9037996,396.1222092,1.385563849,1,1,0,1
3,132.0829602,168.6171197,416.2059523,2.893957604,0,0,0,1
4,20.72536655,276.8035822,474.4788405,1.920855964,0,0,0,1
5,445.4022532,258.6016055,461.0305807,4.563169964,0,0,0,1
6,154.8342157,387.1994818,423.8895529,1.785738663,0,0,0,1
7,63.15097932,462.8568834,395.7197072,1.524231006,0,0,0,1
8,397.594794,236.0788697,353.2788294,4.732092886,0,0,0,1
9,122.855567,117.0613672,469.8685733,2.815587528,0,0,0,1
0,347.9808068,222.8490321,393.3177631,1.609248411,3,1,1,1.1
2,74.43371964,53.03033338,374.4641564,2.319444849,2,1,0,1.1
1,450.0565595,226.8143136,396.1430015,1.385563849,1,1,0,1.1
3,131.9552447,168.8746307,416.239519,2.893957604,0,0,0,1.1
4,20.90892005,276.7469775,474.4797841,1.920855964,0,0,0,1.1
5,445.2821562,258.5263714,460.5968276,4.563169964,0,0,0,1.1
6,154.804432,387.0628511,423.7784961,1.785738663,0,0,0,1.1
7,63.26680454,462.7728478,395.7721985,1.524231006,0,0,0,1.1
8,397.1779155,236.2959668,353.3336759,4.732092886,0,0,0,1.1
9,122.7588203,116.9459295,469.6306878,2.815587528,0,0,0,1.1
0,347.9658584,222.82994,393.1586756,1.609248411,3,1,1,1.2
2,74.61468841,53.14107084,374.370424,2.319444849,2,1,0,1.2
1,449.9528396,226.7248277,396.1637938,1.385563849,1,1,0,1.2
3,131.8275291,169.1321417,416.2730857,2.893957604,0,0,0,1.2
4,21.09247355,276.6903727,474.4807276,1.920855964,0,0,0,1.2
5,445.1620592,258.4511373,460.1630745,4.563169964,0,0,0,1.2
6,154.7746483,386.9262204,423.6674392,1.785738663,0,0,0,1.2
7,63.38262977,462.6888121,395.8246897,1.524231006,0,0,0,1.2
8,396.7610369,236.513064,353.3885225,4.732092886,0,0,0,1.2
9,122.6620735,116.8304919,469.3928022,2.815587528,0,0,0,1.2
0,347.95091,222.8108479,392.999588,1.609248411,3,1,1,1.3
2,74.79565718,53.2518083,374.2766916,2.319444849,2,1,0,1.3
1,449.8491197,226.6353418,396.1845862,1.385563849,1,1,0,1.3
3,131.6998135,169.3896527,416.3066523,2.893957604,0,0,0,1.3
4,21.27602705,276.6337679,474.4816712,1.920855964,0,0,0,1.3
5,445.0419622,258.3759033,459.7293214,4.563169964,0,0,0,1.3
6,154.7448646,386.7895898,423.5563824,1.785738663,0,0,0,1.3
7,63.498455,462.6047765,395.8771809,1.524231006,0,0,0,1.3
8,396.3441584,236.7301612,353.443369,4.732092886,0,0,0,1.3
9,122.5653267,116.7150542,469.1549167,2.815587528,0,0,0,1.3
0,347.9359616,222.7917557,392.8405005,1.609248411,3,1,1,1.4
2,74.97662594,53.36254576,374.1829592,2.319444849,2,1,0,1.4
1,449.7453998,226.5458558,396.2053785,1.385563849,1,1,0,1.4
3,131.5720979,169.6471637,416.340219,2.893957604,0,0,0,1.4
4,21.45958054,276.5771632,474.4826147,1.920855964,0,0,0,1.4
5,444.9218653,258.3006692,459.2955683,4.563169964,0,0,0,1.4
6,154.7150809,386.6529591,423.4453256,1.785738663,0,0,0,1.4
7,63.61428022,462.5207408,395.9296722,1.524231006,0,0,0,1.4
8,395.9272799,236.9472583,353.4982155,4.732092886,0,0,0,1.4
9,122.46858,116.5996166,468.9170311,2.815587528,0,0,0,1.4
0,347.9210132,222.7726636,392.681413,1.609248411,3,1,1,1.5
2,75.15759471,53.47328322,374.0892268,2.319444849,2,1,0,1.5
1,449.6416799,226.4563699,396.2261708,1.385563849,1,1,0,1.5
3,131.4443824,169.9046747,416.3737857,2.893957604,0,0,0,1.5
4,21.64313404,276.5205584,474.4835583,1.920855964,0,0,0,1.5
5,444.8017683,258.2254351,458.8618152,4.563169964,0,0,0,1.5
6,154.6852972,386.5163284,423.3342688,1.785738663,0,0,0,1.5
7,63.73010545,462.4367052,395.9821634,1.524231006,0,0,0,1.5
8,395.5104013,237.1643555,353.553062,4.732092886,0,0,0,1.5
9,122.3718332,116.4841789,468.6791455,2.815587528,0,0,0,1.5
0,347.9060648,222.7535715,392.5223255,1.609248411,3,1,1,1.6
2,75.33856348,53.58402068,373.9954943,2.319444849,2,1,0,1.6
1,449.53796,226.366884,396.2469631,1.385563849,1,1,0,1.6
3,131.3166668,170.1621857,416.4073523,2.893957604,0,0,0,1.6
4,21.82668754,276.4639536,474.4845018,1.920855964,0,0,0,1.6
5,444.6816713,258.1502011,458.4280621,4.563169964,0,0,0,1.6
6,154.6555135,386.3796978,423.223212,1.785738663,0,0,0,1.6
7,63.84593067,462.3526695,396.0346546,1.524231006,0,0,0,1.6
8,395.0935228,237.3814527,353.6079086,4.732092886,0,0,0,1.6
9,122.2750864,116.3687412,468.44126,2.815587528,0,0,0,1.6
0,347.8911164,222.7344793,392.3632379,1.609248411,3,1,1,1.7
2,75.51953225,53.69475814,373.9017619,2.319444849,2,1,0,1.7
1,449.4342401,226.277398,396.2677555,1.385563849,1,1,0,1.7
3,131.1889512,170.4196967,416.440919,2.893957604,0,0,0,1.7
4,22.01024103,276.4073489,474.4854454,1.920855964,0,0,0,1.7
5,444.5615744,258.074967,457.994309,4.563169964,0,0,0,1.7
6,154.6257298,386.2430671,423.1121551,1.785738663,0,0,0,1.7
7,63.9617559,462.2686339,396.0871458,1.524231006,0,0,0,1.7
8,394.6766443,237.5985499,353.6627551,4.732092886,0,0,0,1.7
9,122.1783397,116.2533036,468.2033744,2.815587528,0,0,0,1.7
0,347.876168,222.7153872,392.2041504,1.609248411,3,1,1,1.8
2,75.70050101,53.8054956,373.8080295,2.319444849,2,1,0,1.8
1,449.3305202,226.1879121,396.2885478,1.385563849,1,1,0,1.8
3,131.0612356,170.6772078,416.4744857,2.893957604,0,0,0,1.8
4,22.19379453,276.3507441,474.4863889,1.920855964,0,0,0,1.8
5,444.4414774,257.999733,457.5605559,4.563169964,0,0,0,1.8
6,154.5959461,386.1064364,423.0010983,1.785738663,0,0,0,1.8
7,64.07758113,462.1845982,396.1396371,1.524231006,0,0,0,1.8
8,394.2597658,237.815647,353.7176016,4.732092886,0,0,0,1.8
9,122.0815929,116.1378659,467.9654889,2.815587528,0,0,0,1.8
0,347.8612196,222.696295,392.0450629,1.609248411,3,1,1,1.9
2,75.88146978,53.91623306,373.7142971,2.319444849,2,1,0,1.9
1,449.2268003,226.0984261,396.3093401,1.385563849,1,1,0,1.9
5,444.3213804,257.9244989,457.1268028,4.563169964,1,0,0,1.9
3,130.9335201,170.9347188,416.5080523,2.893957604,0,0,0,1.9
4,22.37734803,276.2941393,474.4873325,1.920855964,0,0,0,1.9
6,154.5661624,385.9698058,422.8900415,1.785738663,0,0,0,1.9
7,64.19340635,462.1005626,396.1921283,1.524231006,0,0,0,1.9
8,393.8428872,238.0327442,353.7724481,4.732092886,0,0,0,1.9
9,121.9848461,116.0224282,467.7276033,2.815587528,0,0,0,1.9
0,347.8462713,222.6772029,391.8859754,1.609248411,3,1,1,2
2,76.06243855,54.02697052,373.6205647,2.319444849,2,1,0,2
1,449.1230804,226.0089402,396.3301324,1.385563849,1,1,0,2
5,444.2012834,257.8492648,456.6930497,4.563169964,1,0,0,2
3,130.8058045,171.1922298,416.541619,2.893957604,0,0,0,2
4,22.56090152,276.2375346,474.488276,1.920855964,0,0,0,2
6,154.5363787,385.8331751,422.7789847,1.785738663,0,0,0,2
7,64.30923158,462.0165269,396.2446195,1.524231006,0,0,0,2
8,393.4260087,238.2498414,353.8272947,4.732092886,0,0,0,2
9,121.8880994,115.9069906,467.4897177,2.815587528,0,0,0,2
0,347.8313229,222.6581108,391.7268878,1.609248411,3,1,1,2.1
2,76.24340731,54.13770798,373.5268323,2.319444849,2,1,0,2.1
1,449.0193605,225.9194543,396.3509248,1.385563849,1,1,0,2.1
5,444.0811865,257.7740308,456.2592966,4.563169964,1,0,0,2.1
3,130.6780889,171.4497408,416.5751856,2.893957604,0,0,0,2.1
4,22.74445502,276.1809298,474.4892196,1.920855964,0,0,0,2.1
6,154.506595,385.6965444,422.6679278,1.785738663,0,0,0,2.1
7,64.42505681,461.9324913,396.2971107,1.524231006,0,0,0,2.1
8,393.0091302,238.4669385,353.8821412,4.732092886,0,0,0,2.1
9,121.7913526,115.7915529,467.2518322,2.815587528,0,0,0,2.1
0,347.8163745,222.6390186,391.5678003,1.609248411,3,1,1,2.2
2,76.42437608,54.24844544,373.4330999,2.319444849,2,1,0,2.2
1,448.9156406,225.8299683,396.3717171,1.385563849,1,1,0,2.2
5,443.9610895,257.6987967,455.8255435,4.563169964,1,0,0,2.2
3,130.5503733,171.7072518,416.6087523,2.893957604,0,0,0,2.2
4,22.92800852,276.124325,474.4901631,1.920855964,0,0,0,2.2
6,154.4768113,385.5599138,422.556871,1.785738663,0,0,0,2.2
7,64.54088203,461.8484557,396.349602,1.524231006,0,0,0,2.2
8,392.5922516,238.6840357,353.9369877,4.732092886,0,0,0,2.2
9,121.6946058,115.6761153,467.0139466,2.815587528,0,0,0,2.2
0,347.8014261,222.6199265,391.4087128,1.609248411,3,1,1,2.3
2,76.60534485,54.3591829,373.3393675,2.319444849,2,1,0,2.3
1,448.8119207,225.7404824,396.3925094,1.385563849,1,1,0,2.3
5,443.8409925,257.6235626,455.3917904,4.563169964,1,0,0,2.3
3,130.4226578,171.9647628,416.642319,2.893957604,0,0,0,2.3
4,23.11156201,276.0677203,474.4911067,1.920855964,0,0,0,2.3
6,154.4470276,385.4232831,422.4458142,1.785738663,0,0,0,2.3
7,64.65670726,461.76442,396.4020932,1.524231006,0,0,0,2.3
8,392.1753731,238.9011329,353.9918342,4.732092886,0,0,0,2.3
9,121.597859,115.5606776,466.776061,2.815587528,0,0,0,2.3
0,347.7864777,222.6008344,391.2496253,1.609248411,3,1,1,2.4
2,76.78631362,54.46992036,373.2456351,2.319444849,2,1,0,2.4
1,448.7082008,225.6509964,396.4133017,1.385563849,1,1,0,2.4
5,443.7208956,257.5483286,454.9580373,4.563169964,1,0,0,2.4
3,130.2949422,172.2222738,416.6758856,2.893957604,0,0,0,2.4
4,23.29511551,276.0111155,474.4920502,1.920855964,0,0,0,2.4
6,154.4172439,385.2866524,422.3347574,1.785738663,0,0,0,2.4
7,64.77253249,461.6803844,396.4545844,1.524231006,0,0,0,2.4
8,391.7584946,239.11823,354.0466808,4.732092886,0,0,0,2.4
9,121.5011123,115.4452399,466.5381755,2.815587528,0,0,0,2.4
0,347.7715293,222.5817422,391.0905378,1.609248411,3,1,1,2.5
2,76.96728238,54.58065782,373.1519027,2.319444849,2,1,0,2.5
1,448.6044809,225.5615105,396.4340941,1.385563849,1,1,0,2.5
5,443.6007986,257.4730945,454.5242842,4.563169964,1,0,0,2.5
3,130.1672266,172.4797848,416.7094523,2.893957604,0,0,0,2.5
4,23.47866901,275.9545107,474.4929938,1.920855964,0,0,0,2.5
6,154.3874602,385.1500218,422.2237006,1.785738663,0,0,0,2.5
7,64.88835771,461.5963487,396.5070756,1.524231006,0,0,0,2.5
8,391.3416161,239.3353272,354.1015273,4.732092886,0,0,0,2.5
9,121.4043655,115.3298023,466.3002899,2.815587528,0,0,0,2.5
0,347.7565809,222.5626501,390.9314502,1.609248411,3,1,1,2.6
2,77.14825115,54.69139528,373.0581703,2.319444849,2,1,0,2.6
1,448.500761,225.4720246,396.4548864,1.385563849,1,1,0,2.6
5,443.4807016,257.3978604,454.090531,4.563169964,1,0,0,2.6
3,130.039511,172.7372958,416.743019,2.893957604,0,0,0,2.6
4,23.66222251,275.897906,474.4939373,1.920855964,0,0,0,2.6
6,154.3576765,385.0133911,422.1126437,1.785738663,0,0,0,2.6
7,65.00418294,461.5123131,396.5595669,1.524231006,0,0,0,2.6
8,390.9247375,239.5524244,354.1563738,4.732092886,0,0,0,2.6
